S NO.,Date ,Event ,Status ,Remarks 
1,Jun-18,Hyderabad 17th evening- 18th,Done ,
2,Jun-21,Bangalore NSW,Done ,
3,Jun-22,NSW EL,,
4,Jun-23,Christ Bangalore,Done ,
5,Jun-24,Manipal Bangalore,Done ,
6,Jun-25,Bhopal,Done ,
7,??,Army Delhi,,
8,Jun-26,Deakin,Done ,
9,Jun-27,CMA 3 PM,Done ,
10,Jul-02,PDC 9:30- 12:30 ,Done ,
11,Jul-02,3 PM AMLI meeting ,Done ,
12,Jul-03,GCC CII? ,Done ,
13,Jul-06,Flame Univ 9 AM,,
14,Jul-06,NIIT Audit proposal 12: 30 PM ,,
15,Jul-07,"Symbisis Institute of Management khargi, 9 am ",,
16,Jul-07,"Symbisis Skills and professional University, Pune, 2 pm ",,
17,Jul-08,NMIMS 10 AM,Done ,
18,Jul-08,JIO 3:30 PM,,
19,Jul-09,GCC meeting Delhi,Done ,
20,Jul-09,ASSOCHAM,,
21,,Harshit pay invoice 1,,
22,,"Harshit apps- Edtech life cycle, Univ ERP, Univ Excel, School RFP. FLN",,
23,,Niti Aayog ,,
24,Jul-10,9:30 Dr KV Raju ,,
25,,Ajay sharma article ,,
26,Jul-10,2 PM SRM Ghaziabad ,,
27,,Rishikesh Krishnan ,,
28,,Secretary Giri Punjab WB,,
29,,IITD,,
30,,Partner Skills Hiring ,,
