Sr. No.,Opportunity Name,Sales Stage ,              Amount Total ,Jupiter ID,PM,Amount pm ,Start Date
,,,(in L),,,(in L),
0,Edtech- BMU,,,,Deb,,
1,Edtech- MAHE,,,,Deb,,
2,Edtech- Times,,,,Deb,,
3,NSW,,,,Deb,,
4,ABES,,,,Rashim,,
5,Vandya School ,,,,KV,,
6,Google workshop- 4,,,,KV,,
7,SGT,,,,KV,,
8,Army workshop,,,,KV,,
9,"Amity- south Africa, studies, AI workshop, maldives, validation studies",,,,KV,,
10,Renew,,,,KV,,
11,Karnatka Higher Ed,,,,,,
12,MP  Higher Ed ,,,,Rajat ,,
13,"Emeritus- Sachin, Sid, Ashwin ",,,,KV,,
14,AMLI,,,,KV,,
15,UP AI,,,,Arvind,,
16,UPES,,,,Saman,,
17,VBU,,,,KV,,
18,Alecon ,,,,KV,,
19,"Google Kings learning, seminar ",,,,KV,,
20,Jain University ,,,,KV,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
