Client ,Project_Code,Project_Name,Ready for Invoicing ,PD,EM,Start Date ,End Date ,WO Value (WO GST),Number of positions ,Maximum Value per month ,Current NSR per month NSR ,Positions Vacant ,Positions resigned ,Number of positions Staffed ,Remarks 
GUJARAT COUNCIL OF PRIMARY EDUCATIO,GUJX0030-01-01,Project Assessment: GAC,Y,Priyank Patel,Priyank Patel,Apr-23,Apr-27," 5,79,60,000 ",9,1610000,1416000,1,1,7,
"KNOWLEDGE CONSORTIUM OF GUJARAT, DE PARTMENT OF EDUCATION-GOVERNMENT OF GUJARAT",KNOX0094-01-01,NEP-KCG,Y,Priyank Patel,Gaurav Mathur,Nov-23,Oct-26," 5,74,55,144 ",8,1596000,1402822,1,1,6,
Kaushalya The Skill University,KAUX0026-01-01,KSU,Y,Priyank Patel,Gaurav Mathur,Apr-25,Mar-27," 3,66,27,264 ",3,1022569,1022569,0,0,3,
GUJARAT COUNCIL OF PRIMARY EDUCATIO,GUJX0055-01-01,Project Paathsala: GOAL,Y,Priyank Patel,Gaurav Mathur,Oct-24,Jul-27," 20,52,83,200 ",15,2959500,2639500,2,0,13,
GUJARAT COUNCIL OF PRIMARY EDUCATIO,GUJX0036-01-01,Project Samagra: GCSE-PMU,Y,Priyank Patel,Priyank Patel,Feb-23,Mar-27," 4,38,24,606 ",7,1153012,993012,1,1,5,
GUJARAT COUNCIL OF PRIMARY EDUCATIO,GUJX0036-01-01,Project Samagra: RSoE,Y,Priyank Patel,Priyank Patel,Feb-23,Mar-27," 4,38,24,606 ",1,193012,193012,0,0,1,
GUJARAT BUILDING AND OTHER CONSTRUCTION TION WORKERS WELFARE BOARD,GUJX0065-01-01,GBOCWWB,Y,Priyank Patel,Gaurav Mathur,Jan-25,Jan-27," 4,52,40,000 ",6,1952528,1952528,0,0,6,
GUJARAT LABOUR WELFARE BOARD,GUJX0096-01-01,GLWB,Y,Priyank Patel,Gaurav Mathur,Jul-25,Jul-27," 1,10,64,582 ",3,781397,781397,0,0,3,
GUJARAT SKILL DEVELOPMENT MISSION,GUJ00039-01-01,GSDM,Y,Priyank Patel,TBD,Jan-26,Dec-26," 1,77,85,299 ",4,1064428,1064428,0,0,4,
GSDM,code awaited,PMU for PM-Setu,Y,Priyank Patel,TBD,Jun-26,May-29," 4,52,16,864 ",4,1302329,347288,1,0,3,
NATIONAL INFORMATICS CENTRE SERVICE INCORPORATED,NATX0837-01-01,RVSK,Y,Deependra Thakur,Ved Gupta,Apr-24,Mar-27," 8,97,81,195 ",11,3950395,3221092,2,0,9,
NATIONAL INFORMATICS CENTRE SERVICE INCORPORATED,NATX0926-01-01,APAAR,Y,Deependra Thakur,Ved Gupta,Sep-24,Mar-27," 2,42,91,255 ",4,1379599,0,0,0,4,
NATIONAL INFORMATICS CENTRE SERVICE INCORPORATED,NATX1000-01-01,Punjab SE (DGSE),Y,Bhavisha Sharma,Bhavisha Sharma,Jun-25,Mar-27," 2,69,14,834 ",8,2704500,1671320,1,1,6,
NATIONAL INFORMATICS CENTRE SERVICE INCORPORATED,NAT04286-01-01,Punjab PDC,Y,Meethi Singh ,Meethi Singh ,Oct-25,Mar-27," 1,06,43,913 ",5,1683476,1683476,0,0,5,
"DEPARTMENT OF PLANNING, GOVERNMENT OF UTTAR PRADESH",DEPX0191-01-04,UP,Y,Arvind Gupta,Arvind Gupta,Aug-22,Aug-27," 1,56,00,000 ",5,1026630,1026630,0,0,5,
EdCIL (India) Limited,EDC00047-01-01,Bharat Innovate,Y,Deependra Thakur,Rajat Sharma,Apr-26,Jun-26," 20,42,047 ",2,453788,453788,0,0,2,
"DoHE, MoE",Code Awaited ,University Township,Y,Arvind Gupta,Arvind Gupta,May-26,May-27," 1,86,70,175 ",5,1555848,935940,2,0,3,
"DoHE, MoE",Code Awaited ,PMRC,Y,Rajat Sharma,Rajat Sharma,Jun-26,Jun-27," 1,92,53,615 ",4,1270204,571288,2,0,2,
CAG office,Code Awaited ,FLN Audit GAG,Y,Deependra Thakur,Avinash Kalra,Jun-26,Oct-27," 32,51,480 ",2,650296,650296,0,0,2,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,106,28309511.14,22026385.72,13,4,89,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,WBS-L2,WBS-L2 Name,Client Name,,,,,,,,,,,,
,DEPX0191-01-01,Boosting Size of UP Economy to USD 1 tn,"DEPARTMENT OF PLANNING, GOVERNMENT OF UTTAR PRADESH",,,,,,,,,,,,
,DEPX0191-01-04,Education and Skills,"DEPARTMENT OF PLANNING, GOVERNMENT OF UTTAR PRADESH",,,,,,,,,,,,
,EDC00047-01-01,PMU for Bharat Innovate,EdCIL (India) Limited,,,,,,,,,,,,
,ERUX0004-01-01,Queen Mary University of London- T&T,ERULEARNING SOLUTIONS PRIVATE LIMIT,,,,,,,,,,,,
,GMRX0036-01-01,GMRVF Education Strategy,GMR Varalakshmi Foundation,,,,,,,,,,,,
,GUJ00039-01-01,PMU for GSDM,GUJARAT SKILL DEVELOPMENT MISSION,,,,,,,,,,,,
,GUJX0030-01-01,Project Assessment,GUJARAT COUNCIL OF PRIMARY EDUCATIO,,,,,,,,,,,,
,GUJX0036-01-01,Project Samagra,GUJARAT COUNCIL OF PRIMARY EDUCATIO,,,,,,,,,,,,
,GUJX0055-01-01,PMC for GOAL Project,GUJARAT COUNCIL OF PRIMARY EDUCATIO,,,,,,,,,,,,
